Commune,Code INSEE
Aigrefeuille,31003
Aucamville,31022
Aussonne,31032
Balma,31044
Beaupuy,31053
Beauzelle,31056
Blagnac,31069
Brax,31088
Bruguières,31091
Castelginest,31116
Colomiers,31149
Cornebarrieu,31150
Cugnaux,31157
Drémil-Lafage,31163
Fenouillet,31182
Flourens,31184
Fonbeauzard,31186
Gagnac-sur-Garonne,31205
Gratentour,31230
Launaguet,31282
Lespinasse,31293
Mondonville,31351
Mondouzil,31352
Mons,31355
Montrabé,31389
Pibrac,31417
Pin-Balma,31418
Quint-Fonsegrives,31445
Saint-Alban,31467
Saint-Jean,31488
Saint-Jory,31490
Saint-Orens-de-Gameville,31506
Seilh,31541
Toulouse,31555
Tournefeuille,31557
L'Union,31561
Villeneuve-Tolosane,31588
