Société,SIREN,Statut,Siège (adresse),Source
GREEN CITY IMMOBILIER,531 272 920,Active,"2 esplanade Compans Caffarelli, 31000 Toulouse",
LE SMART GREEN,880 268 032,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LES CEDRES BLEUS,884 522 525,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
RESIDENCE LE BELVEDERE,847 536 166,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
RODIER-GREEN CITY IMMOBILIER,848 566 725,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
VILLA PARME,911 961 266,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
24 BIS RUE LOUIS PLANA - GREEN CITY IMMOBILIER,824 410 492,Active,"24 bis rue Louis Plana, 31500 Toulouse",
LE BOREAL,902 798 511,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
7 CHEMIN GRAMONT,904 630 175,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
L’OLYMPIE,909 712 028,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
HOME SPIRIT,910 477 181,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE BELLEFONT,927 860 023,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE STANFORD,929 505 253,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarell, 31000 Toulouse",
PAVILLON FLORA,930 025 192,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
L’ARCHIPEL,934 813 692,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
PAVILLON MARLY,940 535 412,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
VILLA COLBERT,948 642 590,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE VIREBENT,981 782 774,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LES JARDINS DU CARDINAL,987 418 357,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
VILLA ROMEO,895 279 388,Active,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE PARC DU CANAL,818 344 111,Radiée,"Immeuble Toulouse 2000, 2 esp. Compans Caffarelli, 31000 Toulouse",
SQUARE EDISON,818 900 136,Radiée,"Immeuble Toulouse 2000, 2 esp. Compans Caffarelli, 31000 Toulouse",
GREEN CITY IMMOBILIER CASTELIA,817 398 860,Radiée,"Immeuble Toulouse 2000, 2 esp. Compans Caffarelli, 31000 Toulouse",
RUE VICTOR HUGO – RAMONVILLE,822 504 825,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE 37,830 696 118,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
COURS ADRIENNE,844 607 374,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE PARC DES DEMOISELLES,812 367 654,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
SCCV DU 8–10 RUE DES ECOLES,791 776 024,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE GREEN VAL,878 061 126,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
RESIDENCE L’OPALE,812 368 975,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LES PORTES DU SOLEIL,832 994 727,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE FANTASIO,890 012 461,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE RIALTO,889 074 944,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE CLOS MAJALIS,889 637 443,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
L’AZALEE,843 108 101,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LES BALCONS DE PECH DAVID,888 400 686,Radiée,"Immeuble Toulouse 2000, 2 esplanade Compans Caffarelli, 31000 Toulouse",
LE CLOS D’IRIS,831 584 313,Radiée,"Immeuble Toulouse 2000, 2 esp. Compans Caffarelli, 31000 Toulouse",
L’ABSOLU,844 358 234,Radiée,"Immeuble Toulouse 2000, 2 esp. Compans Caffarelli, 31000 Toulouse",
