"Code de la région du lieu des travaux - Code de la zone";"Code de la région du lieu des travaux - Libellé de la zone";"Code du département du lieu des travaux - Code de la zone";"Code du département du lieu des travaux - Libellé de la zone";"Code de la commune du lieu des travaux";"Numéro d’enregistrement du permis d’aménager (PA)";"Etat d’avancement du projet";"Date réelle d’autorisation initiale";"Date réelle d’ouverture de chantier";"Date réelle d’achèvement des travaux";"Année de dépôt de la DAU";"Date (mois) de prise en compte DPC du premier évènement reçu dans Sitadel (dépôt de la demande ou autorisation)";"Date (mois) de prise en compte DPC de l’autorisation initiale";"Date (mois) de prise en compte DPC de l’ouverture du chantier";"Date de dernière mise à jour des données";"Code d’activité principale de l’établissement d’un demandeur avéré en tant que personne morale";"Catégorie juridique d’un demandeur avéré en tant que personne morale";"Dénomination d’un demandeur avéré en tant que personne morale";"Numéro SIREN d’un demandeur avéré en tant que personne morale";"Numéro SIRET d’un demandeur avéré en tant que personne morale";"Code postal du demandeur";"Localité du demandeur";"Indicateur de recours à un architecte";"Numéro de voie du terrain";"Type de voie du terrain";"Libellé de la voie du terrain";"Lieu-dit du terrain";"Localité du terrain";"Code postal du terrain";"Section cadastrale 1";"Numéro parcelle cadastrale 1";"Section cadastrale 2";"Numéro parcelle cadastrale 2";"Section cadastrale 3";"Numéro parcelle cadastrale 3";"Superficie du terrain";"Code zone opératoire"
"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"NUM_PA";"ETAT_PA";"DATE_REELLE_AUTORISATION";"DATE_REELLE_DOC";"DATE_REELLE_DAACT";"AN_DEPOT";"DPC_PREM";"DPC_AUT";"DPC_DOC";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_TYPEVOIE_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP"
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155505M0018";2;"2013-02-13";;;2005;"2013-06";"2013-06";;"2013-06";;;;;;"31100";"TOULOUSE";"false";"18";;"CHEMIN DE CANTO LAOUZETTO";;"TOULOUSE";"31";"AM";"493";;;;;1319;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512M0004";6;"2013-06-27";"2013-06-27";"2013-06-30";2012;"2013-06";"2013-06";"2013-06";"2013-06";"41.10A";5202;"SNC KAUFMAN & BROAD PROMOTION 3";"444266381";"44426638110002";"31000";"TOULOUSE";"false";;;"RUE POUTIER";;"TOULOUSE";"31";"AE";"191";"AE";"200";"AE";"202";18737;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512M0014";2;"2014-03-20";;;2012;"2014-03";"2014-03";;"2014-03";;;;;;"31200";"TOULOUSE";"false";"46";;"CHEMIN DE LANUSSE";;"TOULOUSE";"31";"AK";"338";"AK";"340";;;4200;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512M0021";2;"2013-02-07";;;2012;"2013-06";"2013-06";;"2013-06";"84.11Z";7344;"TOULOUSE METROPOLE";"243100518";"24310051800063";"31505";"TOULOUSE CEDEX 5";"false";"0";;"RUE DE LA POMME";;"TOULOUSE";"31";;;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512M0025";2;"2013-03-21";;;2012;"2013-05";"2013-05";;"2013-05";"41.10A";5710;"PACFA";"434034690";"43403469000017";"31000";"TOULOUSE";"true";"219-2";;"AVENUE DE MURET";;"TOULOUSE";"0";"AK";"174";"AK";"175";;;1524;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A1000";2;"2013-07-29";;;2013;"2013-05";"2013-07";;"2013-07";"86.10Z";7364;"HOTEL DIEU SAINT JACQUES";"263100125";"26310012500016";;;"false";;"PL";"BAYLAC";"TSA 40031";"TOULOUSE";"31000";"864";"AP15";;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0002";2;"2013-04-16";;;2013;"2013-05";"2013-05";;"2013-05";;;;;;"31100";"TOULOUSE";"false";;;"CHEMIN PUJIBET";;"TOULOUSE";"0";"AK";"295";"AK";"296";;;2196;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0003";2;"2013-05-23";;;2013;"2013-05";"2013-05";;"2013-05";"84.11Z";7344;"TOULOUSE METROPOLE";"243100518";"24310051800063";"31505";"TOULOUSE CEDEX 5";"false";;;"PLACE SAINT PIERRE";;"TOULOUSE";"0";"AE";"158";;;;;652;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0005";6;"2013-03-28";"2013-03-28";"2013-04-18";2013;"2013-05";"2013-05";"2013-05";"2013-05";;;;;;"31100";"TOULOUSE";"false";"20 BI";;"CHEMIN DE MAZAYGUES";;"TOULOUSE";"0";"AZ";"146";"AZ";"147";"AZ";"254";1838;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0006";6;"2013-05-30";"2013-09-09";"2014-04-23";2013;"2013-06";"2013-06";"2013-09";"2014-04";;;;;;"31100";"TOULOUSE";"false";"59";;"CHEMIN DU LOUP";;"TOULOUSE";"31";"AK";"127";;;;;3202;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0007";6;"2013-06-13";"2013-09-13";"2014-03-15";2013;"2013-06";"2013-06";"2014-03";"2014-03";;;;;;"31000";"TOULOUSE";"false";;;"CHE DE RAMELET MOUNDI";;"TOULOUSE";"31";"AY";"69";"AY";"70";;;2785;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0008";5;"2013-07-19";"2014-03-14";;2013;"2013-05";"2013-08";"2014-03";"2014-03";;;;;;"31270";"VILLENEUVE TOLOSANE";"false";"20";;"CHE DE MONLONG";;"TOULOUSE";"31";"AL";"57";"AL";"58";;;1480;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513M0009";2;"2013-08-20";;;2013;"2013-05";"2013-08";;"2013-08";"84.11Z";7344;"TOULOUSE METROPOLE";"243100518";"24310051800063";"31505";"TOULOUSE CEDEX 05";"true";;;"PLACE SAINT PIERRE";;"TOULOUSE";"31";;;;;;;0;4
