"Code de la région du lieu des travaux - Code de la zone";"Code de la région du lieu des travaux - Libellé de la zone";"Code du département du lieu des travaux - Code de la zone";"Code du département du lieu des travaux - Libellé de la zone";"Code de la commune du lieu des travaux";"Numéro d'enregistrement du permis de démolir (PD)";"Etat d'avancement du projet";"Date réelle d'autorisation initiale";"Année de dépôt de la DAU";"Date (mois) de prise en compte (DPC) du premier évènement reçu dans Sitadel (dépôt de la demande ou autorisation)";"Date (mois) de prise en compte (DPC) de l'autorisation initiale";"Date (mois) (DPC) de dernière mise à jour des données";"Code d'activité principale de l'établissement d'un demandeur avéré en tant que personne morale";"Catégorie juridique d'un demandeur avéré en tant que personne morale";"Dénomination d'un demandeur avéré en tant que personne morale";"Numéro SIREN d'un demandeur avéré en tant que personne morale";"Numéro SIRET d'un demandeur avéré en tant que personne morale";"Code postal du demandeur";"Localité du demandeur";"Indicateur de recours à un architecte";"Numéro de voie du terrain";"Type de voie du terrain";"Libellé de la voie du terrain";"Lieu-dit du terrain";"Localité du terrain";"Code postal du terrain";"Section cadastrale 1";"Numéro parcelle cadastrale 1";"Section cadastrale 2";"Numéro parcelle cadastrale 2";"Section cadastrale 3";"Numéro parcelle cadastrale 3";"Superficie du terrain";"Code zone opératoire"
"REG_CODE";"REG_LIBELLE";"DEP_CODE";"DEP_LIBELLE";"COMM";"NUM_PD";"ETAT_PD";"DATE_REELLE_AUTORISATION";"AN_DEPOT";"DPC_PREM";"DPC_AUT";"DPC_DERN";"APE_DEM";"CJ_DEM";"DENOM_DEM";"SIREN_DEM";"SIRET_DEM";"CODPOST_DEM";"LOCALITE_DEM";"REC_ARCHI";"ADR_NUM_TER";"ADR_TYPEVOIE_TER";"ADR_LIBVOIE_TER";"ADR_LIEUDIT_TER";"ADR_LOCALITE_TER";"ADR_CODPOST_TER";"SEC_CADASTRE1";"NUM_CADASTRE1";"SEC_CADASTRE2";"NUM_CADASTRE2";"SEC_CADASTRE3";"NUM_CADASTRE3";"SUPERFICIE_TERRAIN";"ZONE_OP"
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512A0079";2;"2013-01-07";2012;"2012-12";"2013-01";"2013-01";"72.19Z";4110;"CENTRE NATIONAL D'ETUDES SPATIALES";"775665912";"77566591200082";;;"false";"18";"AV";"EDOUARD BELIN";;"TOULOUSE";;"837";;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512A0085";2;"2013-02-21";2012;"2013-01";"2013-03";"2013-03";"41.10C";5202;"ADIM SUD OUEST";"492950563";"49295056300022";;;"false";"5";"ALL";"ANTONIO MACHADO";;"TOULOUSE";"31000";"842";;"842";"BH121";"842";"BH123";0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155512D0085";2;"2013-03-20";2012;"2013-05";"2013-05";"2013-05";;;;;;"33697";"MAÂAÂRIGNAC CEDEX CEDEX";"false";"5";;"ALLEE ANTONIO MACHADO";;"TOULOUSE";"0";"BA";110;"BA";"114";"BA";"1479";273297;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A0029";2;"2013-06-09";2013;"2013-04";"2013-06";"2013-06";"72.20Z";7389;"CNRS MOY1400 OCCITANIE OUEST";"180089013";"18008901300676";;;"false";"16";"AV";"EDOUARD BELIN";;"TOULOUSE";;"837";;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A0043";2;"2013-08-07";2013;"2013-06";"2013-08";"2013-08";"49.10Z";4120;"DIR ENT   DIRECTION RH SS";"552049447";"55204944777111";"87000";"LIMOGES";"false";"6";"RUE";"MARIE-CLAIRE DE CASTELLAN";;"TOULOUSE";"31000";"AB";36;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A0046";2;"2013-08-20";2013;"2013-06";"2013-09";"2013-09";"86.10Z";7364;"HOPITAL DE RANGUEIL";"263100125";"26310012500057";"31000";"TOULOUSE";"false";"1";"AV";"JEAN POULHES";"TSA 80 032";"TOULOUSE";"31000";;;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A0070";2;"2013-11-26";2013;"2013-11";"2013-11";"2013-11";"85.42Z";7383;"ECOLE NATIONALE DE L'AVIATION CIVILE";"193112562";"19311256200015";;;"false";"7";"AV";"EDOUARD BELIN";;"TOULOUSE";"31000";"873";;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513A0072";2;"2014-01-04";2013;"2013-11";"2014-01";"2014-01";"52.21Z";4120;"RESEAU FERRE DE FRANCE";"412280737";"41228073700393";"31000";"TOULOUSE";"false";;"IMP";"MICHEL ANGE";;"TOULOUSE";"31000";"804";;;;;;0;4
"73";"Midi-Pyrénées";"31";"Haute-Garonne";"31555";"03155513D0004";2;"2013-03-21";2013;"2013-05";"2013-05";"2013-05";;;;;;"31000";"TOULOUSE";"false";;;"ANGLE AVENUE CHURCHILL";"RUE DE KIEV";"TOULOUSE";"0";"AB";299;;;;;3768;4
